"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t","est.t2","lwr.t2","upr.t2"
"22",1999,1283725.9589431,767907.980103221,2146028.40491757,14.0652773128387,0.262174269279815,1283.7259589431,767.907980103221,2146.02840491757,12837.259589431,7679.07980103221,21460.2840491757
"23",2000,1319484.3014478,813883.691573316,2139173.98738093,14.0927515375056,0.24652431962336,1319.4843014478,813.883691573316,2139.17398738093,13194.843014478,8138.83691573316,21391.7398738093
"24",2001,1838044.46970214,1203735.71117017,2806602.34738604,14.42421277622,0.21595927670012,1838.04446970214,1203.73571117017,2806.60234738604,18380.4446970214,12037.3571117017,28066.0234738604
"25",2002,1070778.52796739,642477.438236064,1784602.20969617,13.8838965380995,0.260621910698172,1070.77852796739,642.477438236064,1784.60220969617,10707.7852796739,6424.77438236064,17846.0220969617
"26",2003,1149000.20835072,676196.854391611,1952392.22160804,13.9544027381631,0.270496409623036,1149.00020835072,676.196854391611,1952.39222160804,11490.0020835072,6761.96854391611,19523.9222160804
"27",2004,1139776.36253181,650485.674902595,1997108.01745292,13.9463426279085,0.286162438346813,1139.77636253181,650.485674902595,1997.10801745292,11397.7636253181,6504.85674902595,19971.0801745292
"28",2005,1062819.22460412,573929.984060778,1968157.67699721,13.8764355813419,0.314379701529568,1062.81922460412,573.929984060778,1968.15767699721,10628.1922460412,5739.29984060778,19681.5767699721
"29",2006,2475875.85429411,1672229.47267445,3665741.66168281,14.7221047719069,0.200226365060889,2475.87585429411,1672.22947267445,3665.74166168281,24758.7585429411,16722.2947267445,36657.4166168281
"30",2007,3523084.22212056,2470952.36664183,5023213.96548152,15.0748473634017,0.180989629590532,3523.08422212056,2470.95236664183,5023.21396548152,35230.8422212056,24709.5236664183,50232.1396548152
"31",2008,2842090.79901724,1980822.73025893,4077840.983177,14.8600505361145,0.184201190564407,2842.09079901724,1980.82273025893,4077.840983177,28420.9079901724,19808.2273025893,40778.40983177
"32",2009,3622704.78594053,2547755.01071925,5151197.78426866,15.1027314832397,0.179599392950088,3622.70478594053,2547.75501071925,5151.19778426866,36227.0478594053,25477.5501071925,51511.9778426866
"33",2010,4771125.67275892,3303628.36865982,6890496.64339025,15.3780928251195,0.187534515910069,4771.12567275892,3303.62836865982,6890.49664339025,47711.2567275893,33036.2836865982,68904.9664339025
"34",2011,4287575.93404064,2803665.80235357,6556882.5552362,15.2712320808629,0.216735486068502,4287.57593404064,2803.66580235357,6556.8825552362,42875.7593404064,28036.6580235357,65568.825552362
"35",2012,3475610.84034154,2098147.97280464,5757396.93771561,15.0612808029265,0.257512490558153,3475.61084034154,2098.14797280464,5757.39693771561,34756.1084034154,20981.4797280464,57573.9693771561
"36",2013,1731393.82253911,1034979.84450022,2896408.64472504,14.3644373198581,0.26252768588486,1731.39382253911,1034.97984450022,2896.40864472504,17313.9382253911,10349.7984450022,28964.0864472504
"37",2014,2532441.31918734,1684427.00232313,3807383.17913585,14.7446943437358,0.208043791102695,2532.44131918734,1684.42700232313,3807.38317913585,25324.4131918734,16844.2700232313,38073.8317913585
"38",2015,1502791.55143857,950583.719650839,2375784.89972947,14.222834970786,0.233679525632254,1502.79155143857,950.583719650838,2375.78489972947,15027.9155143857,9505.83719650839,23757.8489972947
"39",2016,1777817.68564696,1146374.76350762,2757070.22172082,14.3908971507923,0.223872485764002,1777.81768564696,1146.37476350762,2757.07022172082,17778.1768564696,11463.7476350762,27570.7022172082
"40",2017,736735.613941459,412190.289870143,1316817.44618656,13.5099843740319,0.296303395517831,736.735613941459,412.190289870143,1316.81744618656,7367.35613941459,4121.90289870143,13168.1744618656
"41",2018,1017193.47878856,604211.955614233,1712449.68537262,13.8325579015663,0.265758743744716,1017.19347878856,604.211955614233,1712.44968537262,10171.9347878856,6042.11955614233,17124.4968537262
"42",2019,1757671.20914819,1113855.31638658,2773617.03447329,14.3795003142228,0.232740246431482,1757.67120914819,1113.85531638658,2773.61703447329,17576.7120914819,11138.5531638658,27736.1703447329
"44",2021,1017005.37185795,574320.5511005,1800910.52706721,13.8323729570796,0.291551268679754,1017.00537185795,574.3205511005,1800.91052706721,10170.0537185795,5743.205511005,18009.1052706721
"45",2022,1218223.60722714,716271.102426365,2071937.2206672,14.0129042959746,0.270969411280662,1218.22360722714,716.271102426365,2071.9372206672,12182.2360722714,7162.71102426365,20719.372206672
"46",2023,1031747.6352071,597113.031843188,1782749.87479256,13.846764655591,0.279037243735455,1031.7476352071,597.113031843188,1782.74987479256,10317.476352071,5971.13031843188,17827.4987479256
"47",2024,1229782.95529319,628786.464777643,2405214.17340696,14.0223482526666,0.342251828897476,1229.78295529319,628.786464777643,2405.21417340696,12297.8295529319,6287.86464777643,24052.1417340696
